"Data Structures","Algorithms","Operating Systems","Computer Networks","Database Management","Object Oriented Programming","Computer Architecture","Discrete Mathematics","Theory of Computation","Compiler Design","Artificial Intelligence","Machine Learning","Deep Learning","Computer Graphics","Software Engineering","Web Development","Mobile App Development","Cybersecurity","Cryptography","Cloud Computing","Distributed Systems","Parallel Computing","Natural Language Processing","Computer Vision","Robotics","Embedded Systems","Digital Logic Design","Microprocessors","Linear Algebra","Probability and Statistics","Numerical Methods","Information Theory","Data Mining","Big Data Analytics","Internet of Things","Blockchain Technology","Human Computer Interaction","Software Testing","DevOps","API Design and Development","Data Visualization","Network Security","Digital Signal Processing","Image Processing","Programming Languages","Functional Programming","System Programming","Game Development","Quantum Computing","Bioinformatics","Ethical Hacking","Formal Methods","Graph Theory","Advanced Algorithms","Computer Ethics"
89,93,57,49,56,64,61,74,54,49,71,79,79,75,83,80,84,55,81,79,65,68,55,65,54,57,67,85,56,75,79,91,70,71,67,48,72,71,79,71,78,58,72,61,44,61,83,68,36,78,65,52,60,66,81
83,80,56,76,91,68,56,64,50,46,68,66,65,63,66,95,59,60,73,79,54,78,67,55,69,74,76,48,71,51,76,44,53,67,71,62,98,83,73,76,64,52,35,63,68,70,76,70,51,64,81,47,97,71,74
70,58,54,58,69,73,54,63,65,56,70,57,47,72,59,67,77,67,38,68,94,54,65,49,52,52,76,74,57,35,60,88,61,81,97,43,67,90,80,79,75,64,56,82,77,67,58,65,65,64,64,67,80,86,77
60,73,63,82,74,75,49,50,52,63,50,57,89,78,59,58,74,58,57,66,87,34,51,49,69,70,85,62,68,77,90,74,65,70,71,75,73,76,70,62,80,36,20,67,68,42,76,83,37,70,86,65,73,71,66
56,53,59,58,76,59,43,50,63,45,75,82,45,69,70,77,66,75,67,74,88,70,76,61,50,56,54,87,66,45,70,53,79,86,98,84,79,62,56,58,81,81,70,58,76,60,88,70,75,76,74,58,67,59,77
73,49,91,65,70,59,55,81,40,58,64,68,58,76,63,87,87,84,60,64,85,44,46,55,58,56,62,47,47,66,74,57,77,95,65,80,89,76,53,83,67,84,18,70,66,59,50,56,52,62,82,58,74,53,78
50,49,76,62,67,76,69,57,71,61,46,76,47,69,75,83,90,73,73,64,36,55,80,54,68,45,85,79,70,76,65,40,63,73,75,56,80,75,65,83,70,76,63,82,62,71,52,65,44,82,69,66,69,49,78
60,83,56,79,80,64,50,66,49,59,83,89,53,75,86,75,61,49,62,89,76,62,48,51,67,69,59,69,73,64,75,77,63,81,63,63,87,68,59,71,77,63,53,71,78,56,100,82,88,55,72,35,47,59,70
41,53,60,82,56,70,69,93,62,59,66,46,84,81,87,87,63,53,60,82,51,53,82,82,54,64,77,65,64,36,69,43,74,53,86,66,88,84,64,61,90,70,92,57,67,78,52,74,100,52,48,94,61,27,67
81,64,69,64,77,81,58,55,45,64,64,87,67,74,78,82,87,64,54,52,72,72,82,69,58,56,78,54,49,73,79,64,84,57,89,76,87,62,84,70,73,83,77,72,52,79,77,92,88,68,65,43,55,54,94
75,44,86,62,84,81,54,44,58,52,76,68,63,81,79,90,81,53,73,76,63,69,72,77,64,99,70,61,62,56,84,50,64,76,81,69,81,66,71,73,79,79,54,68,81,45,50,76,48,62,74,43,59,42,83
67,73,82,34,69,86,49,50,31,70,78,72,63,66,65,81,86,62,55,62,53,37,51,75,77,58,84,66,65,57,66,46,75,50,73,43,70,87,81,69,75,63,100,64,62,45,65,85,75,85,58,59,50,93,70
89,62,66,61,46,77,79,45,29,49,95,69,73,78,56,85,67,83,61,70,89,58,68,53,84,72,43,56,83,63,41,65,67,52,78,72,79,88,67,70,77,68,85,46,66,40,51,60,83,68,53,34,37,73,78
58,84,100,73,85,62,61,61,52,44,81,40,55,70,100,77,83,35,94,100,67,26,54,59,68,53,89,51,53,76,49,69,63,75,49,48,74,53,85,70,87,71,62,69,51,80,56,63,58,53,59,55,71,81,71
76,35,55,56,64,76,81,55,65,37,52,56,46,61,69,63,87,39,78,76,61,62,86,74,60,82,73,54,65,69,49,77,77,84,67,55,86,75,73,65,84,77,60,91,73,62,67,67,53,57,56,56,67,44,84
75,48,61,55,87,92,80,65,41,68,82,80,56,69,71,81,78,79,60,68,66,54,55,82,77,74,73,58,56,59,77,85,94,44,87,65,86,78,61,56,63,62,66,58,58,56,53,79,61,67,71,89,58,73,97
76,67,58,62,87,67,46,54,69,43,82,87,60,79,78,79,78,44,75,82,52,55,80,78,71,72,80,59,53,38,46,33,70,76,57,75,75,76,84,58,87,66,51,73,80,62,68,93,24,38,84,83,61,59,85
57,87,77,74,75,79,39,43,52,45,55,68,70,51,66,71,79,61,60,100,49,67,79,66,45,82,84,66,88,66,31,76,76,87,75,59,69,84,57,74,77,50,62,49,74,59,78,64,57,85,84,56,80,44,94
76,54,48,66,81,79,82,30,91,60,50,71,46,56,75,77,52,76,66,84,73,34,77,72,98,65,70,78,62,72,78,49,73,75,77,83,69,88,60,72,84,73,69,84,62,67,74,90,19,65,54,76,53,72,80
55,81,77,64,68,81,77,58,58,45,72,66,75,74,66,77,70,58,82,50,86,65,61,37,76,50,65,69,49,63,77,61,89,60,64,65,84,83,58,74,70,70,82,66,56,51,35,66,35,63,77,77,67,43,91
61,52,45,93,71,96,58,70,70,52,81,70,52,71,92,86,74,82,53,75,45,55,96,79,62,68,58,67,66,70,87,57,71,64,94,71,63,90,69,71,88,66,43,84,92,82,100,65,82,78,51,54,53,64,84
71,58,59,69,72,75,62,63,46,43,83,78,60,52,69,87,74,67,62,79,38,47,81,67,57,67,53,51,78,46,45,52,76,63,69,61,62,70,73,91,78,63,75,70,91,61,86,74,18,70,44,21,58,82,91
62,75,70,57,72,79,70,55,63,41,62,58,70,68,80,80,79,72,33,82,57,56,60,54,73,66,60,66,80,44,51,77,67,70,63,53,75,87,67,74,66,64,91,89,51,71,62,78,59,72,65,61,48,68,77
80,53,69,64,88,85,64,70,71,86,45,77,54,76,94,70,95,59,53,81,100,68,49,61,60,61,75,87,55,78,70,63,75,80,64,65,78,37,64,78,68,56,65,67,80,49,63,72,57,54,79,61,36,43,87
67,51,56,75,60,82,60,56,46,62,52,76,47,86,53,85,57,55,63,91,58,67,63,91,60,98,56,81,58,61,53,43,82,79,79,77,77,57,75,73,99,62,87,56,83,68,66,74,51,70,58,21,62,65,88
63,84,92,44,58,60,59,86,40,45,78,56,66,89,79,89,69,82,43,74,63,77,71,65,48,71,66,58,62,88,72,63,76,81,74,51,91,89,63,57,74,62,51,54,72,67,66,84,46,60,70,52,38,77,76
51,56,74,66,88,83,91,37,91,65,46,50,64,77,84,78,78,77,62,79,66,45,62,70,99,60,70,44,49,65,46,47,54,71,80,44,72,76,71,56,98,93,65,72,96,63,68,67,78,54,57,35,44,70,68
67,59,51,34,80,81,42,54,50,27,60,67,50,69,86,98,83,64,47,87,35,42,72,66,96,57,64,57,86,68,57,91,66,76,66,86,82,45,69,84,75,67,75,72,88,63,76,72,68,39,63,40,74,46,67
90,39,38,75,72,54,71,54,69,90,72,77,66,63,74,85,76,68,42,75,69,81,74,67,80,44,38,81,63,72,71,79,98,64,75,78,65,74,82,66,67,70,74,90,44,53,61,70,79,76,74,59,71,38,88
61,47,35,49,65,81,93,39,76,76,67,46,46,54,71,72,70,72,54,49,59,84,75,68,66,55,58,82,40,79,73,50,72,69,97,60,87,82,89,85,63,66,75,59,66,33,38,71,100,56,65,76,78,62,65
78,77,64,69,47,71,49,42,40,46,72,57,53,85,63,61,68,60,54,75,58,77,66,53,62,67,53,77,84,61,61,80,74,65,64,73,70,60,64,74,70,59,60,49,58,73,74,62,64,61,75,31,31,13,88
58,66,74,87,85,66,94,84,58,26,70,64,74,93,67,86,86,63,60,66,49,47,67,62,82,33,61,61,68,67,67,43,60,78,48,73,67,86,74,86,68,83,64,51,62,68,78,79,69,49,71,59,36,60,71
62,31,76,73,63,73,100,39,46,64,55,78,47,55,70,74,55,78,37,92,71,87,65,60,71,75,68,52,51,77,64,72,64,85,60,74,80,71,64,88,79,58,79,73,87,82,42,75,58,61,82,43,72,85,61
73,97,71,62,73,74,81,63,49,89,66,81,68,78,83,64,68,68,57,68,49,50,56,61,43,71,90,67,48,78,86,54,60,63,81,82,85,77,87,75,60,92,85,63,63,67,43,90,80,62,88,46,80,56,59
90,57,93,57,73,79,30,68,55,73,69,71,75,64,60,70,76,73,66,66,61,57,75,46,67,54,89,61,52,59,64,77,60,63,63,54,73,47,62,97,82,85,53,79,70,74,74,68,55,50,88,86,38,67,60
64,60,47,69,64,83,73,33,70,56,75,76,44,90,66,88,89,54,71,62,63,45,77,57,65,77,70,74,36,89,47,78,73,60,92,46,74,64,95,82,77,69,72,77,70,65,45,87,81,90,74,44,73,56,74
54,68,59,72,64,74,81,75,45,49,68,74,71,86,68,100,80,67,87,62,66,74,54,80,45,51,56,80,59,63,66,83,84,53,75,58,88,61,86,70,74,78,65,39,62,66,32,52,47,71,72,54,58,70,59
81,49,37,59,79,70,71,39,55,48,58,66,73,72,55,69,73,68,70,60,74,68,100,32,58,100,91,93,44,63,79,54,76,63,100,81,87,56,80,94,82,69,59,59,83,64,69,68,91,64,48,78,50,74,75
58,82,56,62,75,80,76,81,69,75,70,66,67,56,78,70,75,58,42,72,53,72,60,69,71,90,94,67,75,57,81,82,72,71,83,54,83,65,76,79,73,60,68,95,60,86,60,73,68,65,64,62,31,74,84
82,46,79,58,75,78,77,60,81,76,68,58,63,76,85,68,75,72,64,75,68,58,87,86,63,67,77,53,53,69,100,37,55,71,79,77,66,85,80,71,71,72,86,79,77,66,58,63,44,66,87,64,66,66,80
57,43,57,59,73,69,73,32,59,32,65,82,88,70,74,78,70,79,67,61,61,61,41,68,57,84,64,67,71,68,67,51,57,48,77,66,73,63,57,89,68,61,45,65,55,53,67,76,36,70,48,67,64,79,94
70,79,64,73,75,80,41,59,47,24,58,81,74,65,68,92,66,73,46,75,66,67,59,78,75,72,57,55,36,61,75,53,89,79,60,84,74,79,77,74,65,64,67,66,76,69,20,63,61,82,67,49,75,55,97
69,54,28,70,94,76,56,40,63,44,52,82,50,68,79,64,62,72,73,55,70,32,60,58,77,65,87,75,68,65,63,75,70,72,62,59,73,61,90,82,71,53,64,59,68,50,72,61,44,79,68,38,79,64,90
50,66,38,64,55,86,51,68,86,70,54,66,63,58,69,67,61,45,84,87,58,92,66,60,77,59,80,40,66,63,65,49,74,66,89,28,68,75,87,60,73,65,69,48,52,81,71,85,66,84,88,63,69,66,86
58,67,76,72,82,64,53,55,48,64,81,66,59,91,73,73,80,67,64,59,36,58,61,55,57,94,74,76,87,49,62,55,76,69,70,70,91,100,61,77,71,69,67,65,43,69,51,54,70,87,70,86,57,76,83
51,67,52,77,57,71,67,55,58,51,67,51,82,67,54,66,85,71,82,77,60,61,55,74,76,86,53,86,66,67,70,37,74,68,60,51,53,68,74,61,87,56,69,71,58,52,62,84,91,88,51,46,60,47,85
90,75,63,66,73,50,81,40,64,82,79,59,74,74,83,91,68,55,65,83,65,63,63,61,76,60,92,23,53,70,85,60,64,70,80,74,84,74,71,72,70,74,61,68,80,63,62,57,90,43,65,38,58,81,95
63,60,61,72,49,94,47,62,50,56,75,86,57,81,77,87,74,65,49,95,56,76,64,82,70,68,67,56,86,59,61,39,71,66,50,62,81,78,50,69,82,61,65,79,46,51,57,68,67,67,90,81,51,81,77
78,64,63,54,74,59,68,59,54,67,82,53,55,73,75,77,62,78,53,58,48,77,65,65,81,85,70,70,64,54,57,70,78,75,73,87,99,66,63,73,88,95,39,65,57,72,79,70,52,74,63,61,42,49,81
64,47,68,56,54,65,78,18,90,49,96,100,90,80,80,81,67,48,67,67,74,49,76,64,80,67,69,77,70,85,86,59,61,81,68,35,73,71,88,75,85,49,47,53,84,73,38,75,67,78,83,49,21,66,77
71,32,71,93,84,82,33,66,76,64,58,52,58,62,84,80,85,76,47,65,58,77,80,82,41,68,59,49,60,69,60,64,60,54,70,73,81,55,88,76,79,66,38,44,88,66,66,62,58,63,87,61,72,87,83
68,66,81,60,53,61,59,84,60,26,70,49,86,58,59,65,70,72,65,84,64,66,48,73,69,56,68,30,58,59,49,75,71,77,69,57,64,77,87,64,91,60,49,56,54,74,46,63,56,61,61,48,67,76,77
46,63,65,70,69,68,73,31,79,82,75,99,75,61,77,75,66,68,100,85,70,50,74,53,72,74,49,80,47,62,85,52,91,76,71,100,90,85,97,83,72,72,75,53,57,65,69,68,100,68,73,25,38,44,67
63,51,64,64,80,82,75,54,43,38,73,71,76,67,59,75,62,64,87,99,67,45,67,54,61,80,73,68,78,59,69,69,69,59,69,70,80,79,82,72,79,54,49,72,70,72,74,68,59,57,69,77,59,59,65
71,72,66,85,69,82,47,56,75,60,80,90,66,57,62,65,72,65,42,77,56,70,66,76,75,64,60,43,46,28,83,47,62,85,58,46,100,76,65,69,87,73,50,59,58,75,58,78,70,69,64,41,48,38,84
87,70,42,48,62,70,46,31,71,45,59,75,44,78,87,76,81,60,43,71,48,64,56,75,63,63,57,86,61,78,57,65,61,65,73,65,69,66,58,95,72,63,80,54,62,41,58,79,67,72,80,86,77,62,84
80,74,79,85,66,68,84,82,58,63,72,45,67,56,71,66,89,64,55,75,45,69,96,87,79,64,59,47,58,75,76,83,53,70,79,69,93,55,88,74,79,57,59,76,75,61,44,79,53,38,83,56,66,52,73
61,30,64,73,93,75,88,50,47,54,70,79,58,60,64,72,78,66,61,66,67,39,69,68,57,53,61,37,57,43,84,62,78,77,100,57,77,76,90,73,92,40,79,70,88,50,53,81,88,62,59,32,50,77,82
92,61,73,48,87,75,65,79,89,90,71,78,39,72,66,85,73,60,84,65,61,65,26,61,67,66,69,61,41,80,48,64,78,80,82,61,68,71,59,91,64,56,70,59,61,64,78,77,81,82,71,60,73,71,77
78,94,47,75,50,76,40,59,39,47,66,56,98,89,76,85,86,55,42,63,82,55,72,73,66,59,57,34,46,45,85,44,52,80,89,51,85,67,100,73,92,43,81,76,99,55,36,63,99,72,73,65,92,52,76
67,51,65,58,70,80,65,63,60,48,55,69,51,72,75,77,63,70,60,73,88,71,48,66,67,79,60,76,54,36,65,60,79,77,57,59,90,63,58,70,62,74,80,71,74,68,96,74,62,51,67,55,47,70,79
64,59,54,81,71,76,56,66,80,77,79,64,71,63,80,63,87,57,54,58,59,54,48,48,70,64,83,65,57,46,49,78,73,96,57,73,85,100,73,72,82,70,63,61,52,76,87,69,70,49,60,74,58,61,77
94,72,53,82,100,74,46,73,69,59,51,81,71,67,65,79,83,57,76,78,71,38,55,57,63,59,86,56,58,56,70,73,62,72,63,48,64,80,60,61,79,65,77,60,73,60,87,66,83,86,81,39,51,46,79
62,60,84,49,96,72,72,67,56,64,55,83,30,81,85,79,70,68,75,70,71,58,77,69,82,65,53,75,70,49,75,54,68,74,80,43,69,96,73,80,72,58,78,67,77,53,97,81,5,70,72,58,69,78,77
39,76,82,60,71,71,41,54,70,70,73,57,65,71,53,82,68,65,74,81,93,58,73,84,91,60,56,49,79,39,64,65,58,60,53,36,76,69,95,73,85,60,43,38,65,56,49,83,61,47,78,66,47,47,68
41,42,62,64,57,77,94,85,51,61,92,72,40,73,76,78,71,68,66,74,79,57,76,49,41,74,91,51,52,72,68,80,53,78,91,62,72,78,80,75,85,62,68,76,64,100,68,100,45,73,73,72,60,72,93
56,69,77,67,71,71,52,68,71,24,86,68,64,69,72,93,69,68,85,72,77,62,76,75,73,43,73,41,59,59,73,90,40,48,82,54,74,70,70,73,87,88,38,71,78,43,85,76,94,74,73,55,100,57,96
70,72,78,81,67,81,36,41,31,41,52,64,41,61,65,84,82,81,63,92,93,64,73,68,68,36,70,84,69,55,64,39,63,77,51,57,75,68,90,87,79,71,77,70,76,62,59,92,49,58,81,32,58,44,76
70,54,75,72,49,85,66,52,43,60,61,75,74,64,79,77,64,56,72,70,41,72,79,72,74,50,68,55,54,51,60,73,85,51,58,46,67,73,70,69,95,20,53,65,64,47,66,91,92,67,76,50,44,58,91
58,50,48,71,89,81,80,57,59,68,62,70,80,84,86,80,68,73,58,70,60,40,46,65,93,42,69,90,40,46,92,49,69,78,66,58,70,77,47,74,68,55,61,82,72,67,68,71,94,90,56,56,58,55,78
74,51,73,66,87,95,61,60,91,87,76,73,69,58,82,70,78,46,52,64,70,35,71,62,70,77,75,67,68,65,70,53,69,81,67,61,89,56,68,90,76,86,40,76,64,45,48,68,68,63,68,34,70,76,77
48,66,82,38,62,86,84,52,32,60,74,34,73,76,66,78,56,58,90,75,67,75,58,61,75,66,75,68,32,75,73,74,64,64,54,59,79,51,81,78,96,48,77,59,59,87,63,69,34,68,89,74,77,73,78
38,55,69,62,68,82,52,69,44,73,62,58,58,63,91,80,68,42,53,52,69,55,68,71,92,48,76,64,75,69,83,67,62,45,91,95,75,78,82,71,81,92,54,63,68,64,68,62,80,70,74,86,86,69,75
65,34,67,48,40,100,56,54,49,67,71,61,66,92,87,80,68,67,74,70,51,65,73,75,68,65,83,69,60,67,63,76,79,89,74,80,74,47,85,70,61,76,69,42,74,73,91,75,53,74,52,39,55,64,86
48,59,59,52,33,87,65,84,55,57,71,52,72,65,75,78,86,95,69,71,43,74,66,76,74,55,61,44,35,74,60,72,69,68,72,99,66,57,66,95,84,54,60,86,65,51,68,79,48,70,64,46,77,58,96
74,76,81,64,78,83,53,61,46,71,41,54,41,84,74,72,71,72,77,64,68,62,63,77,60,65,68,65,56,68,70,65,64,85,67,62,65,55,82,53,77,62,56,68,68,89,58,76,97,84,56,57,71,50,81
86,81,49,61,80,77,63,34,52,60,62,53,65,38,65,77,62,61,72,62,54,56,42,57,78,54,67,62,69,56,70,79,72,71,78,74,71,63,61,71,72,68,62,62,61,65,55,67,60,37,65,86,77,63,87
77,56,71,65,80,69,57,63,34,55,81,43,99,70,68,82,70,61,53,74,59,43,51,63,78,73,70,81,55,62,72,44,70,74,69,69,76,54,79,76,67,58,78,54,89,68,59,81,27,56,68,29,52,69,59
62,56,58,54,65,76,52,59,86,80,82,90,74,80,78,89,74,53,68,79,80,72,67,82,51,63,64,74,43,61,73,60,65,57,79,65,77,77,79,81,71,44,62,63,71,68,43,69,29,74,92,79,65,59,80
57,58,61,60,63,91,58,48,90,48,65,76,66,89,75,66,84,50,71,58,79,48,86,73,59,32,71,62,69,56,63,57,70,73,66,91,68,84,64,71,83,59,65,74,48,54,61,80,66,77,48,52,52,25,84
81,83,53,56,84,77,56,74,37,75,68,58,53,53,64,86,62,89,46,69,92,79,85,73,54,52,64,70,60,75,65,52,58,56,72,56,93,69,81,78,96,70,75,89,66,65,69,69,42,84,73,48,30,52,80
52,78,50,96,64,84,53,57,52,67,70,75,62,62,83,71,51,71,72,82,58,61,82,42,69,64,82,48,53,49,79,58,57,98,86,65,89,72,77,79,83,81,57,57,75,79,55,45,96,76,73,42,46,90,91
63,41,64,43,70,87,86,72,50,42,59,64,78,83,72,75,77,85,57,98,66,74,60,73,63,72,53,50,57,79,67,73,63,60,72,52,77,64,78,75,83,59,71,45,65,56,72,74,75,69,67,37,37,70,97
60,75,94,41,73,72,59,69,44,59,71,60,66,72,84,71,56,49,69,79,55,48,85,87,59,50,60,60,50,68,77,58,72,90,78,73,85,75,67,76,80,50,75,65,79,50,48,84,47,54,73,29,78,37,95
58,82,57,60,56,81,78,50,89,54,79,69,84,85,84,76,52,42,37,77,63,37,68,45,90,50,60,68,73,59,79,75,78,63,74,67,77,90,61,62,73,96,84,91,58,82,75,70,74,74,79,48,53,61,82
74,35,62,74,67,69,62,39,54,53,83,69,82,71,70,70,86,63,60,73,69,27,74,48,68,64,100,38,51,78,39,70,55,83,81,44,65,82,67,69,92,64,64,58,74,50,78,58,54,78,57,59,41,59,57
62,69,92,79,68,59,58,61,51,40,82,80,68,67,70,58,73,77,49,63,84,68,77,80,66,53,64,60,57,69,58,85,77,59,89,30,76,72,62,77,69,67,62,60,66,62,73,78,58,69,64,42,85,56,71
80,71,75,72,64,77,49,70,58,48,96,64,57,79,79,79,75,71,43,80,59,24,52,69,72,75,78,69,64,71,56,57,51,88,68,83,60,68,85,52,79,56,41,83,74,70,43,73,29,58,80,36,54,50,74
75,61,37,71,77,76,51,70,57,61,68,41,70,73,70,73,66,65,81,87,77,48,75,69,76,58,74,52,49,51,56,64,54,87,66,68,62,64,70,90,78,61,51,72,47,58,65,70,39,62,66,77,62,64,84
89,77,67,69,77,85,50,89,70,78,88,75,69,76,91,71,85,66,68,71,67,60,75,61,75,45,64,54,39,59,84,62,75,72,65,57,73,53,60,67,79,67,78,77,67,52,70,71,46,64,76,82,54,27,78
81,60,81,56,45,69,84,89,49,78,90,59,82,71,67,79,69,70,69,66,70,62,46,56,78,60,75,44,75,85,66,67,82,69,69,74,78,85,78,76,74,64,67,56,59,52,55,78,55,91,79,62,48,20,90
64,43,90,59,77,78,67,76,67,67,33,36,68,61,72,89,83,72,72,69,49,94,54,64,63,63,67,56,84,61,68,53,56,57,71,83,80,55,75,80,74,72,89,72,69,77,68,86,71,55,79,69,70,73,83
76,64,44,80,75,71,66,79,65,83,66,73,56,70,77,73,94,52,65,68,43,48,85,58,56,43,67,47,63,80,62,92,76,81,68,74,70,94,62,81,85,51,39,52,55,71,69,75,65,58,60,69,76,54,77
86,43,70,47,83,65,70,78,87,70,94,67,34,59,78,79,95,58,47,77,71,72,54,53,58,66,73,54,91,78,74,51,67,81,72,45,76,65,91,65,76,57,64,78,59,81,79,70,45,78,62,68,71,86,67
53,85,42,79,69,68,25,85,64,51,77,43,42,62,78,91,70,47,59,67,56,80,65,75,85,58,79,72,58,48,80,44,69,61,74,55,79,87,88,73,80,94,35,47,69,58,61,89,62,54,98,67,69,41,64
58,9,69,83,65,76,43,69,72,41,87,99,79,85,79,85,76,50,59,63,91,74,80,58,70,57,70,64,35,57,77,65,82,73,86,88,70,61,81,80,80,80,62,73,51,83,74,69,54,60,73,48,45,70,75
87,45,69,70,70,60,51,46,12,62,70,46,69,64,76,66,90,76,77,86,45,89,58,58,83,58,53,55,87,80,74,60,72,69,71,98,65,73,82,75,69,91,66,64,74,51,50,88,60,84,87,30,55,72,89
85,57,58,57,75,69,75,74,56,36,74,58,78,72,73,71,53,65,78,65,74,66,67,56,100,68,66,86,79,46,76,68,75,72,90,56,71,71,70,72,77,42,47,87,50,72,56,53,48,77,67,67,54,58,82
59,74,55,61,70,90,77,90,67,74,65,73,42,62,58,76,81,68,72,73,68,78,53,62,53,57,62,69,89,63,71,45,66,76,87,90,74,72,62,87,74,73,53,67,88,74,72,80,57,53,60,54,100,48,79
61,52,64,68,60,92,69,40,57,59,79,86,43,69,80,78,82,77,67,73,68,65,97,71,71,60,65,48,47,56,56,60,83,70,74,77,64,84,81,94,83,93,56,55,71,49,59,58,63,69,63,80,39,55,89
57,100,40,70,60,81,74,78,50,68,80,65,51,79,65,83,71,77,31,82,73,41,83,56,70,77,69,72,45,48,46,74,68,60,71,52,70,73,64,95,72,60,37,65,64,57,63,81,50,59,59,48,55,34,72
75,70,53,57,72,71,54,73,48,42,74,63,69,66,66,72,74,52,60,83,64,32,69,69,86,58,68,47,79,44,83,62,62,72,75,53,62,72,63,79,87,67,77,74,76,53,62,74,57,68,65,52,91,69,78
51,68,73,84,63,68,60,82,71,57,76,79,81,91,79,67,80,56,55,64,72,61,77,98,60,39,89,52,67,55,62,72,64,65,66,61,58,88,90,73,88,89,86,63,60,82,68,90,49,66,86,36,50,63,87
75,80,62,71,60,87,92,58,70,43,56,68,53,69,76,68,73,65,41,66,75,48,64,88,53,69,44,65,39,70,74,67,80,74,73,77,87,54,74,71,84,72,51,75,67,57,68,72,48,38,81,21,48,76,69
48,41,46,80,79,76,71,75,40,79,80,54,73,67,82,75,66,77,63,71,66,64,51,43,55,65,78,69,49,96,75,71,76,47,62,52,85,73,59,85,79,67,62,63,64,66,68,58,74,51,70,48,85,66,74
60,43,40,76,67,78,50,83,71,57,62,67,70,67,77,72,80,67,72,88,52,72,58,86,62,60,62,87,81,76,79,60,84,94,60,56,59,75,67,77,94,78,77,28,83,73,56,73,61,84,61,68,54,92,77
90,32,63,62,68,69,54,42,68,33,71,70,87,63,65,76,82,63,55,59,57,51,79,58,76,60,48,65,74,94,73,89,56,78,58,56,81,74,35,71,72,35,76,44,60,64,65,56,78,86,57,92,69,78,84
